Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Sial_aa_1 Spectral Count	Sial_aa_2 Spectral Count	Sial_aa_3 Spectral Count	rPAL_aa_1 Spectral Count	rPAL_aa_2 Spectral Count	rPAL_aa_3 Spectral Count	Sial_aa_1 Unique Spectral Count	Sial_aa_2 Unique Spectral Count	Sial_aa_3 Unique Spectral Count	rPAL_aa_1 Unique Spectral Count	rPAL_aa_2 Unique Spectral Count	rPAL_aa_3 Unique Spectral Count	Sial_aa_1 Total Spectral Count	Sial_aa_2 Total Spectral Count	Sial_aa_3 Total Spectral Count	rPAL_aa_1 Total Spectral Count	rPAL_aa_2 Total Spectral Count	rPAL_aa_3 Total Spectral Count	Sial_aa_1 Intensity	Sial_aa_2 Intensity	Sial_aa_3 Intensity	rPAL_aa_1 Intensity	rPAL_aa_2 Intensity	rPAL_aa_3 Intensity	Sial_aa_1 MaxLFQ Intensity	Sial_aa_2 MaxLFQ Intensity	Sial_aa_3 MaxLFQ Intensity	rPAL_aa_1 MaxLFQ Intensity	rPAL_aa_2 MaxLFQ Intensity	rPAL_aa_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P15924|DESP_HUMAN	P15924	DESP_HUMAN	DSP	2871	Homo sapiens	1:Experimental evidence at protein level	Desmoplakin	1.0	0.999	70	335	335	335	65	69	47	63	40	51	65	69	47	63	40	51	65	69	47	63	40	51	2737078.8	3334816.8	2357065.2	2329775.5	2063999.9	2549336.0	228660.67	245560.6	190056.12	182361.86	135965.06	180666.03	
sp|P15927|RFA2_HUMAN	P15927	RFA2_HUMAN	RPA2	270	Homo sapiens	1:Experimental evidence at protein level	Replication protein A 32 kDa subunit	1.0	0.999	6	31	31	31	3	4	3	7	5	9	3	4	3	7	5	9	3	4	3	7	5	9	541593.06	413359.75	405665.5	323794.56	407302.62	306697.5	183900.53	145565.55	144878.52	200956.64	190348.89	187592.08	
sp|P16070|CD44_HUMAN	P16070	CD44_HUMAN	CD44	742	Homo sapiens	1:Experimental evidence at protein level	CD44 antigen	1.0	0.999	6	29	29	29	4	4	1	4	14	2	4	4	1	4	14	2	4	4	1	4	14	2	146161.03	209947.92	98124.95	149635.45	358304.1	81907.484	88654.24	91533.61	51891.758	55705.734	112011.54	51063.926	
sp|P16104|H2AX_HUMAN	P16104	H2AX_HUMAN	H2AX	143	Homo sapiens	1:Experimental evidence at protein level	Histone H2AX	1.0	0.999	9	213	22	213	34	39	38	30	35	37	4	3	4	3	3	5	34	39	38	30	35	37	8587889.0	1.1638697E7	9805993.0	7542895.5	8079053.0	8990899.0	4305727.0	4046309.0	3836048.8	3731737.8	3629253.8	4296981.5	
sp|P16150|LEUK_HUMAN	P16150	LEUK_HUMAN	SPN	400	Homo sapiens	1:Experimental evidence at protein level	Leukosialin	1.0	0.999	3	13	13	13	0	4	2	2	4	1	0	4	2	2	4	1	0	4	2	2	4	1	100644.19	209000.97	182795.6	144558.34	314046.12	163837.73	100644.19	105040.68	91052.516	83890.164	155033.08	79778.16	
sp|P16220|CREB1_HUMAN	P16220	CREB1_HUMAN	CREB1	327	Homo sapiens	1:Experimental evidence at protein level	Cyclic AMP-responsive element-binding protein 1	1.0	0.999	3	33	29	33	9	11	5	2	4	2	8	10	4	2	3	2	9	11	5	2	4	2	154209.69	176038.67	150094.44	99529.805	181840.25	99347.625	55112.113	68063.94	55917.574	52540.89	72282.13	59691.555	
sp|P16333|NCK1_HUMAN	P16333	NCK1_HUMAN	NCK1	377	Homo sapiens	1:Experimental evidence at protein level	SH2/SH3 adapter protein NCK1	1.0	0.999	5	19	15	19	5	3	1	4	3	3	4	2	1	4	2	2	5	3	1	4	3	3	97284.266	133967.3	73443.49	108530.46	154329.19	106824.13	43723.266	60285.523	43914.867	34731.203	70664.94	60609.535	
sp|P16401|H15_HUMAN	P16401	H15_HUMAN	H1-5	226	Homo sapiens	1:Experimental evidence at protein level	Histone H1.5	1.0	0.999	21	540	506	540	119	71	72	102	90	86	115	65	67	97	83	79	119	71	72	102	90	86	2.0931864E7	2.2157698E7	2.2169738E7	2.2445732E7	2.5990206E7	2.4840872E7	7434299.0	6875567.5	6996622.5	7630040.5	7284738.5	7115069.5	
sp|P16402|H13_HUMAN	P16402	H13_HUMAN	H1-3	221	Homo sapiens	1:Experimental evidence at protein level	Histone H1.3	1.0	0.999	20	85	85	437	18	20	13	11	12	11	18	20	13	11	12	11	72	77	72	72	66	78	2290339.0	2312128.8	1871546.2	2160620.8	2355823.2	2001356.2	1784018.5	1595242.4	1280520.8	1620583.8	1203175.9	1040134.44	
sp|P16403|H12_HUMAN	P16403	H12_HUMAN	H1-2	213	Homo sapiens	1:Experimental evidence at protein level	Histone H1.2	1.0	0.999	18	126	126	468	24	16	18	26	22	20	24	16	18	26	22	20	78	71	74	85	75	85	4496426.0	1342489.2	1429016.1	5511362.0	1366603.9	1167388.4	1727804.1	1046236.1	1042357.8	1474978.9	1051856.1	1051233.8	
sp|P16435|NCPR_HUMAN	P16435	NCPR_HUMAN	POR	677	Homo sapiens	1:Experimental evidence at protein level	NADPH--cytochrome P450 reductase	0.9999	0.999	2	7	7	7	1	1	1	0	2	2	1	1	1	0	2	2	1	1	1	0	2	2	0.0	0.0	23289.227	0.0	6913.227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P16615|AT2A2_HUMAN	P16615	AT2A2_HUMAN	ATP2A2	1042	Homo sapiens	1:Experimental evidence at protein level	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	1.0	0.999	7	16	13	16	1	0	0	5	9	1	1	0	0	5	7	0	1	0	0	5	9	1	78582.18	127015.516	83384.94	165438.98	189045.36	78233.82	31483.135	33991.04	28388.354	34359.473	55079.363	25871.625	
sp|P16930|FAAA_HUMAN	P16930	FAAA_HUMAN	FAH	419	Homo sapiens	1:Experimental evidence at protein level	Fumarylacetoacetase	0.9805	0.9978	2	2	2	2	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0.0	8846.414	0.0	6745.174	21890.441	6964.757	0.0	8846.414	0.0	6745.174	21890.441	6964.757	
sp|P16949|STMN1_HUMAN	P16949	STMN1_HUMAN	STMN1	149	Homo sapiens	1:Experimental evidence at protein level	Stathmin	1.0	0.999	7	42	26	42	6	10	6	4	10	6	5	5	3	2	7	4	6	10	6	4	10	6	191775.11	435554.56	225361.53	159476.94	807702.94	95695.53	105313.914	144134.83	95483.87	64101.223	263034.6	55094.562	
sp|P16989|YBOX3_HUMAN	P16989	YBOX3_HUMAN	YBX3	372	Homo sapiens	1:Experimental evidence at protein level	Y-box-binding protein 3	1.0	0.999	20	240	240	420	45	49	36	29	39	42	45	49	36	29	39	42	73	83	68	58	65	73	2152251.2	2098137.2	2331426.5	1602697.8	1677602.4	1779479.1	608731.3	571261.25	626472.8	437578.44	414372.88	476653.78	
sp|P17020|ZNF16_HUMAN	P17020	ZNF16_HUMAN	ZNF16	682	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 16	0.9991	0.9979	3	3	1	3	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	20307.396	39312.023	34884.266	22692.898	8123.686	40180.914	22174.434	42926.324	17202.412	13519.682	8870.568	15360.287	
sp|P17026|ZNF22_HUMAN	P17026	ZNF22_HUMAN	ZNF22	224	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 22	1.0	0.999	7	67	61	67	11	9	9	13	10	15	10	8	8	11	10	14	11	9	9	13	10	15	532361.25	483304.7	408881.62	477935.7	298519.28	450727.56	96588.14	85463.375	71083.086	85399.266	63315.445	81245.17	
sp|P17028|ZNF24_HUMAN	P17028	ZNF24_HUMAN	ZNF24	368	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 24	0.9878	0.9986	2	1	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0.0	0.0	0.0	7419.6924	6708.2017	0.0	0.0	0.0	0.0	7419.6924	6708.2017	0.0	
sp|P17096|HMGA1_HUMAN	P17096	HMGA1_HUMAN	HMGA1	107	Homo sapiens	1:Experimental evidence at protein level	High mobility group protein HMG-I/HMG-Y	1.0	0.999	10	151	151	151	24	34	26	18	27	22	24	34	26	18	27	22	24	34	26	18	27	22	1600656.6	2304508.2	2495386.8	918697.5	1371749.1	1532899.0	537740.5	709467.94	685320.8	293269.2	368282.94	439032.38	
sp|P17098|ZNF8_HUMAN	P17098	ZNF8_HUMAN	ZNF8	575	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 8	0.79	0.994	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	5833.0513	20254.13	8298.082	0.0	0.0	0.0	5833.0513	20254.13	8298.082	
sp|P17174|AATC_HUMAN	P17174	AATC_HUMAN	GOT1	413	Homo sapiens	1:Experimental evidence at protein level	Aspartate aminotransferase, cytoplasmic	0.9999	0.9989	2	2	2	2	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	41703.5	20490.836	31766.268	10226.304	34846.83	15828.624	27496.896	19023.36	20884.855	23160.504	32351.23	14695.038	
sp|P17480|UBF1_HUMAN	P17480	UBF1_HUMAN	UBTF	764	Homo sapiens	1:Experimental evidence at protein level	Nucleolar transcription factor 1	1.0	0.999	72	1661	1661	1661	263	272	255	298	284	289	263	272	255	298	284	289	263	272	255	298	284	289	3.793786E7	3.7978008E7	3.920098E7	4.2580592E7	3.819028E7	4.2626716E7	2840776.2	2648214.5	2662916.8	3049723.5	2477708.2	2873425.5	
sp|P17535|JUND_HUMAN	P17535	JUND_HUMAN	JUND	347	Homo sapiens	1:Experimental evidence at protein level	Transcription factor JunD	1.0	0.999	3	16	16	16	4	2	2	1	2	5	4	2	2	1	2	5	4	2	2	1	2	5	65360.25	65272.418	55036.508	30257.441	77358.695	79554.57	65360.25	48598.36	55036.508	23578.406	77358.695	57328.44	
sp|P17568|NDUB7_HUMAN	P17568	NDUB7_HUMAN	NDUFB7	137	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	0.9577	0.999	1	3	3	3	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	32087.979	35301.17	28095.375	26067.299	32036.424	0.0	32087.979	35301.17	28095.375	26067.299	32036.424	0.0	
sp|P17706|PTN2_HUMAN	P17706	PTN2_HUMAN	PTPN2	415	Homo sapiens	1:Experimental evidence at protein level	Tyrosine-protein phosphatase non-receptor type 2	1.0	0.999	5	22	22	22	4	3	5	4	4	2	4	3	5	4	4	2	4	3	5	4	4	2	195324.78	121695.375	150801.84	148744.97	137134.94	48960.82	61195.062	70019.59	62853.668	69117.336	64897.566	46859.53	
sp|P17812|PYRG1_HUMAN	P17812	PYRG1_HUMAN	CTPS1	591	Homo sapiens	1:Experimental evidence at protein level	CTP synthase 1	1.0	0.999	12	50	48	50	10	8	6	5	12	9	10	7	6	5	11	9	10	8	6	5	12	9	328945.53	357626.22	624427.5	567879.2	985277.0	383826.5	162833.48	152710.88	149778.34	154268.17	173497.95	136601.47	
sp|P17844|DDX5_HUMAN	P17844	DDX5_HUMAN	DDX5	614	Homo sapiens	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX5	1.0	0.999	49	955	762	955	160	174	166	137	159	159	129	137	134	111	119	132	160	174	166	137	159	159	1.8979454E7	2.1526136E7	2.2020456E7	1.761695E7	1.8801952E7	1.7401316E7	2089399.6	2051708.1	2149953.0	1696365.0	1603271.2	1741441.0	
sp|P17858|PFKAL_HUMAN	P17858	PFKAL_HUMAN	PFKL	780	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent 6-phosphofructokinase, liver type	1.0	0.999	16	90	89	126	18	15	11	14	18	14	18	14	11	14	18	14	24	21	15	19	27	20	596031.0	494648.3	530247.9	466430.44	1499710.2	498969.25	109652.83	96428.25	96726.64	98819.484	110294.445	98813.77	
sp|P17948|VGFR1_HUMAN	P17948	VGFR1_HUMAN	FLT1	1338	Homo sapiens	1:Experimental evidence at protein level	Vascular endothelial growth factor receptor 1	0.9999	0.999	2	6	6	6	0	0	1	1	2	2	0	0	1	1	2	2	0	0	1	1	2	2	214197.69	377260.25	185225.28	54149.055	271555.84	62246.895	243808.64	274595.3	210831.06	33409.527	170394.16	47999.137	
sp|P17980|PRS6A_HUMAN	P17980	PRS6A_HUMAN	PSMC3	439	Homo sapiens	1:Experimental evidence at protein level	26S proteasome regulatory subunit 6A	1.0	0.999	14	55	55	55	3	15	6	9	16	6	3	15	6	9	16	6	3	15	6	9	16	6	236213.4	382210.53	226915.34	327986.0	720669.6	199904.05	44226.16	53530.24	42442.1	48381.895	88300.39	33463.87	
sp|P17987|TCPA_HUMAN	P17987	TCPA_HUMAN	TCP1	556	Homo sapiens	1:Experimental evidence at protein level	T-complex protein 1 subunit alpha	1.0	0.999	17	163	163	163	23	29	26	24	37	24	23	29	26	24	37	24	23	29	26	24	37	24	1188735.1	1389967.5	1202147.0	1119469.4	2016489.2	950405.9	200353.72	205471.03	212890.45	168934.98	275012.84	154257.95	
sp|P18031|PTN1_HUMAN	P18031	PTN1_HUMAN	PTPN1	435	Homo sapiens	1:Experimental evidence at protein level	Tyrosine-protein phosphatase non-receptor type 1	1.0	0.999	5	12	12	12	2	4	2	1	3	0	2	4	2	1	3	0	2	4	2	1	3	0	60720.258	147175.89	85748.9	47195.227	430622.0	13061.9795	57197.86	67605.33	67917.95	53862.293	51231.24	37423.797	
sp|P18074|ERCC2_HUMAN	P18074	ERCC2_HUMAN	ERCC2	760	Homo sapiens	1:Experimental evidence at protein level	General transcription and DNA repair factor IIH helicase subunit XPD	1.0	0.999	4	18	18	18	1	4	2	4	5	2	1	4	2	4	5	2	1	4	2	4	5	2	43081.824	112035.555	92843.91	88614.37	145988.75	115795.83	22775.508	50386.9	32850.656	38712.004	47970.797	35268.98	
sp|P18077|RL35A_HUMAN	P18077	RL35A_HUMAN	RPL35A	110	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL33	1.0	0.999	10	109	109	109	17	16	18	21	21	16	17	16	18	21	21	16	17	16	18	21	21	16	1273423.4	1247465.6	1049446.4	1749567.1	1777500.8	1773059.5	362203.88	307042.94	307668.8	482683.56	449256.62	449272.56	
sp|P18085|ARF4_HUMAN	P18085	ARF4_HUMAN	ARF4	180	Homo sapiens	1:Experimental evidence at protein level	ADP-ribosylation factor 4	1.0	0.999	5	5	5	7	2	0	1	0	2	0	2	0	1	0	2	0	3	0	2	0	2	0	20976.924	64004.367	34106.297	35375.473	88208.38	15618.966	37393.043	38475.01	20983.457	32806.477	51925.836	14484.703	
sp|P18124|RL7_HUMAN	P18124	RL7_HUMAN	RPL7	248	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL30	1.0	0.999	19	477	477	477	70	73	66	97	83	88	70	73	66	97	83	88	70	73	66	97	83	88	1.0038197E7	1.0405122E7	1.0009234E7	1.4152374E7	1.2934982E7	1.2516287E7	2092109.5	1846126.5	1913644.2	2998047.8	2383004.8	2789087.0	
sp|P18206|VINC_HUMAN	P18206	VINC_HUMAN	VCL	1134	Homo sapiens	1:Experimental evidence at protein level	Vinculin	1.0	0.999	22	65	65	65	8	9	8	7	31	2	8	9	8	7	31	2	8	9	8	7	31	2	457171.1	545955.9	479433.66	389570.9	1318390.8	201965.0	66134.95	65083.504	57776.715	51564.89	131619.3	41009.945	
sp|P18583|SON_HUMAN	P18583	SON_HUMAN	SON	2426	Homo sapiens	1:Experimental evidence at protein level	Protein SON	1.0	0.999	47	416	416	416	42	63	55	97	72	87	42	63	55	97	72	87	42	63	55	97	72	87	4353046.5	3679967.2	3512337.8	5238527.5	1.1236395E7	7308120.0	760770.75	921834.06	870492.6	1273426.2	1176529.6	1218567.5	
sp|P18615|NELFE_HUMAN	P18615	NELFE_HUMAN	NELFE	380	Homo sapiens	1:Experimental evidence at protein level	Negative elongation factor E	1.0	0.999	6	59	59	59	9	9	10	10	11	10	9	9	10	10	11	10	9	9	10	10	11	10	160062.95	156754.23	176779.42	145530.38	170978.4	144634.08	56888.477	49424.152	62494.27	49437.39	58263.68	48816.22	
sp|P18621|RL17_HUMAN	P18621	RL17_HUMAN	RPL17	184	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL22	1.0	0.999	23	684	680	684	128	111	100	126	97	122	127	109	99	126	97	122	128	111	100	126	97	122	3.2011682E7	3.0322392E7	2.8591254E7	3.176482E7	3.0978418E7	3.2679002E7	6687107.0	6206916.0	5770420.0	6904954.5	5529922.0	5712750.5	
sp|P18669|PGAM1_HUMAN	P18669	PGAM1_HUMAN	PGAM1	254	Homo sapiens	1:Experimental evidence at protein level	Phosphoglycerate mutase 1	1.0	0.999	10	64	14	64	11	7	10	8	24	4	4	1	2	1	6	0	11	7	10	8	24	4	677266.4	480407.66	503793.06	476890.25	1223617.8	385453.5	239820.27	235915.4	160863.56	175911.34	453517.97	102106.78	
sp|P18754|RCC1_HUMAN	P18754	RCC1_HUMAN	RCC1	421	Homo sapiens	1:Experimental evidence at protein level	Regulator of chromosome condensation	1.0	0.999	6	46	46	46	8	7	8	7	8	8	8	7	8	7	8	8	8	7	8	7	8	8	225189.39	244659.8	214001.94	256330.22	380803.16	186943.22	74123.55	73058.26	73537.25	76121.375	107359.0	66956.63	
sp|P18846|ATF1_HUMAN	P18846	ATF1_HUMAN	ATF1	271	Homo sapiens	1:Experimental evidence at protein level	Cyclic AMP-dependent transcription factor ATF-1	0.9999	0.999	2	7	7	11	0	3	1	0	3	0	0	3	1	0	3	0	1	4	2	0	4	0	38501.81	96734.39	31590.2	47037.54	100243.2	41437.074	26199.121	65039.832	21916.771	31894.186	66390.84	41437.074	
sp|P18850|ATF6A_HUMAN	P18850	ATF6A_HUMAN	ATF6	670	Homo sapiens	1:Experimental evidence at protein level	Cyclic AMP-dependent transcription factor ATF-6 alpha	0.9348	0.9984	1	2	2	2	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0.0	20385.732	20554.361	20522.953	16639.777	0.0	0.0	20385.732	20554.361	20522.953	16639.777	0.0	
sp|P18858|DNLI1_HUMAN	P18858	DNLI1_HUMAN	LIG1	919	Homo sapiens	1:Experimental evidence at protein level	DNA ligase 1	1.0	0.999	4	15	15	15	3	3	1	1	6	1	3	3	1	1	6	1	3	3	1	1	6	1	48137.723	85455.34	71477.914	47113.062	126459.64	39330.977	18230.188	24720.21	24367.08	32081.775	38524.305	26093.541	
sp|P18887|XRCC1_HUMAN	P18887	XRCC1_HUMAN	XRCC1	633	Homo sapiens	1:Experimental evidence at protein level	DNA repair protein XRCC1	1.0	0.999	22	368	368	368	57	61	62	59	56	73	57	61	62	59	56	73	57	61	62	59	56	73	3289652.0	3644211.0	3837775.2	3907195.5	3347030.5	3976628.2	520604.66	492005.25	525726.44	521728.72	432932.44	559122.44	
sp|P19012|K1C15_HUMAN	P19012	K1C15_HUMAN	KRT15	456	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 15	1.0	0.999	18	24	23	204	2	5	4	4	5	4	2	5	4	4	4	4	42	37	33	31	30	31	203210.06	322968.94	299678.75	14417.38	121642.67	135354.66	172707.5	171245.55	145337.36	77706.69	101731.9	115037.43	
sp|P19013|K2C4_HUMAN	P19013	K2C4_HUMAN	KRT4	520	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 4	1.0	0.999	26	91	78	216	36	2	16	0	18	19	29	2	14	0	17	16	62	23	36	18	42	35	1942371.2	302677.6	936729.25	72707.805	657529.6	573549.6	264526.34	45737.617	141865.4	20376.97	110387.86	105312.836	
sp|P19174|PLCG1_HUMAN	P19174	PLCG1_HUMAN	PLCG1	1290	Homo sapiens	1:Experimental evidence at protein level	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	0.9953	0.999	2	11	11	11	1	2	1	2	1	4	1	2	1	2	1	4	1	2	1	2	1	4	83194.44	86739.45	82347.11	45659.03	92503.08	91119.81	46884.266	50132.027	47600.605	46660.332	53497.137	52357.04	
sp|P19338|NUCL_HUMAN	P19338	NUCL_HUMAN	NCL	710	Homo sapiens	1:Experimental evidence at protein level	Nucleolin	1.0	0.999	75	3142	3142	3142	551	540	632	475	454	490	551	540	632	475	454	490	551	540	632	475	454	490	1.13430488E8	1.15197048E8	1.22285608E8	9.403424E7	8.7650488E7	9.0158216E7	1.4287224E7	1.3686603E7	1.4153361E7	1.1199367E7	9611847.0	1.0323644E7	
sp|P19367|HXK1_HUMAN	P19367	HXK1_HUMAN	HK1	917	Homo sapiens	1:Experimental evidence at protein level	Hexokinase-1	1.0	0.999	3	3	3	3	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	22214.723	25805.215	0.0	39737.086	94195.836	11090.589	23029.994	20711.693	0.0	19993.746	47793.164	11497.609	
sp|P19387|RPB3_HUMAN	P19387	RPB3_HUMAN	POLR2C	275	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit RPB3	1.0	0.999	13	113	113	113	18	13	17	22	21	22	18	13	17	22	21	22	18	13	17	22	21	22	1237130.0	1498764.1	1155308.6	1334020.4	1534537.5	1269866.8	296053.53	323666.75	298834.8	329949.38	344115.78	333739.94	
sp|P19388|RPAB1_HUMAN	P19388	RPAB1_HUMAN	POLR2E	210	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerases I, II, and III subunit RPABC1	1.0	0.999	11	114	114	114	17	20	19	18	19	21	17	20	19	18	19	21	17	20	19	18	19	21	1648961.9	2085856.2	2020566.2	1939556.1	2161335.8	1795564.8	378928.9	401619.62	381602.62	363554.38	394953.53	367423.06	
sp|P19404|NDUV2_HUMAN	P19404	NDUV2_HUMAN	NDUFV2	249	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	0.9576	0.999	1	2	2	2	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	18117.553	34733.76	30739.479	15274.931	46151.984	16333.374	18117.553	34733.76	30739.479	15274.931	46151.984	16333.374	
sp|P19447|ERCC3_HUMAN	P19447	ERCC3_HUMAN	ERCC3	782	Homo sapiens	1:Experimental evidence at protein level	General transcription and DNA repair factor IIH helicase/translocase subunit XPB	1.0	0.999	22	301	301	301	50	52	47	53	50	49	50	52	47	53	50	49	50	52	47	53	50	49	2682975.2	3038067.0	2989465.5	3136393.5	3067888.0	2976003.8	643082.7	651287.1	647931.1	703275.0	645970.2	664634.2	
sp|P19525|E2AK2_HUMAN	P19525	E2AK2_HUMAN	EIF2AK2	551	Homo sapiens	1:Experimental evidence at protein level	Interferon-induced, double-stranded RNA-activated protein kinase	1.0	0.999	29	364	364	364	74	63	56	62	50	59	74	63	56	62	50	59	74	63	56	62	50	59	6108853.5	5736895.5	6174971.0	5279243.0	4954519.0	5959805.5	1241844.2	1118750.4	1194932.1	1081544.6	923232.94	1130602.1	
sp|P19532|TFE3_HUMAN	P19532	TFE3_HUMAN	TFE3	575	Homo sapiens	1:Experimental evidence at protein level	Transcription factor E3	0.9909	0.999	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	12257.478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P19544|WT1_HUMAN	P19544	WT1_HUMAN	WT1	449	Homo sapiens	1:Experimental evidence at protein level	Wilms tumor protein	1.0	0.999	5	24	24	24	3	5	6	3	1	6	3	5	6	3	1	6	3	5	6	3	1	6	185043.05	195698.45	196040.97	155508.1	115693.75	287789.4	90694.55	86537.98	87226.62	70553.65	48341.82	116447.23	
sp|P19623|SPEE_HUMAN	P19623	SPEE_HUMAN	SRM	302	Homo sapiens	1:Experimental evidence at protein level	Spermidine synthase	1.0	0.999	5	11	11	11	1	3	1	0	6	0	1	3	1	0	6	0	1	3	1	0	6	0	132624.25	209137.31	130884.44	177413.03	238668.94	48796.34	39982.97	69001.42	52431.21	56019.562	120122.52	38139.652	
sp|P19784|CSK22_HUMAN	P19784	CSK22_HUMAN	CSNK2A2	350	Homo sapiens	1:Experimental evidence at protein level	Casein kinase II subunit alpha'	1.0	0.999	18	160	160	168	24	32	27	27	24	26	24	32	27	27	24	26	25	34	29	28	25	27	1676160.8	1946590.6	2052970.0	1431330.5	1454567.5	1551289.4	418900.16	391873.78	369978.3	324589.97	305377.0	314289.34	
sp|P19823|ITIH2_HUMAN	P19823	ITIH2_HUMAN	ITIH2	946	Homo sapiens	1:Experimental evidence at protein level	Inter-alpha-trypsin inhibitor heavy chain H2	1.0	0.999	3	8	8	8	1	1	1	2	3	0	1	1	1	2	3	0	1	1	1	2	3	0	44078.617	60745.723	59270.33	46915.33	131908.5	6638.539	36260.047	38164.21	38321.87	33471.387	83095.79	21424.594	
sp|P19838|NFKB1_HUMAN	P19838	NFKB1_HUMAN	NFKB1	968	Homo sapiens	1:Experimental evidence at protein level	Nuclear factor NF-kappa-B p105 subunit	1.0	0.999	4	16	16	16	1	3	1	3	6	2	1	3	1	3	6	2	1	3	1	3	6	2	96663.69	79233.44	83037.94	52240.96	119939.97	80972.2	33541.965	34990.016	36899.688	40484.637	44753.21	35295.555	
sp|P20042|IF2B_HUMAN	P20042	IF2B_HUMAN	EIF2S2	333	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2 subunit 2	1.0	0.999	34	770	770	770	137	150	148	122	110	103	137	150	148	122	110	103	137	150	148	122	110	103	1.7517882E7	1.8432984E7	1.7515478E7	1.4048742E7	1.2909025E7	1.2368423E7	2503323.2	2392428.2	2418209.8	1770643.6	1513784.0	1577161.0	
sp|P20073|ANXA7_HUMAN	P20073	ANXA7_HUMAN	ANXA7	488	Homo sapiens	1:Experimental evidence at protein level	Annexin A7	1.0	0.999	7	13	13	13	2	1	0	1	9	0	2	1	0	1	9	0	2	1	0	1	9	0	21206.9	53689.1	40936.965	54871.703	475135.06	9866.062	36112.875	30630.943	32311.188	29632.516	47254.137	16800.75	
sp|P20226|TBP_HUMAN	P20226	TBP_HUMAN	TBP	339	Homo sapiens	1:Experimental evidence at protein level	TATA-box-binding protein	0.9999	0.999	2	12	8	12	0	2	2	1	5	2	0	2	2	1	1	2	0	2	2	1	5	2	12309.796	64899.363	79647.4	62539.125	87032.94	50041.344	23681.916	38043.8	50067.04	40962.848	59213.39	20630.203	
sp|P20290|BTF3_HUMAN	P20290	BTF3_HUMAN	BTF3	206	Homo sapiens	1:Experimental evidence at protein level	Transcription factor BTF3	1.0	0.999	9	55	55	55	9	7	6	10	13	10	9	7	6	10	13	10	9	7	6	10	13	10	660050.06	529722.25	537009.2	620477.06	872128.75	704996.1	228081.17	198169.9	202805.4	226283.97	309956.16	229586.48	
sp|P20309|ACM3_HUMAN	P20309	ACM3_HUMAN	CHRM3	590	Homo sapiens	1:Experimental evidence at protein level	Muscarinic acetylcholine receptor M3	0.9999	0.999	2	10	10	10	2	1	3	2	1	1	2	1	3	2	1	1	2	1	3	2	1	1	52924.6	108037.59	92919.945	87366.86	77467.234	49017.934	52924.6	67152.48	56503.516	51490.7	77467.234	49017.934	
sp|P20339|RAB5A_HUMAN	P20339	RAB5A_HUMAN	RAB5A	215	Homo sapiens	1:Experimental evidence at protein level	Ras-related protein Rab-5A	0.9495	0.9988	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	9515.384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
