Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	UL_1 Spectral Count	UL_2 Spectral Count	UL_3 Spectral Count	rGAL_1 Spectral Count	rGAL_2 Spectral Count	rGAL_3 Spectral Count	UL_1 Unique Spectral Count	UL_2 Unique Spectral Count	UL_3 Unique Spectral Count	rGAL_1 Unique Spectral Count	rGAL_2 Unique Spectral Count	rGAL_3 Unique Spectral Count	UL_1 Total Spectral Count	UL_2 Total Spectral Count	UL_3 Total Spectral Count	rGAL_1 Total Spectral Count	rGAL_2 Total Spectral Count	rGAL_3 Total Spectral Count	UL_1 Intensity	UL_2 Intensity	UL_3 Intensity	rGAL_1 Intensity	rGAL_2 Intensity	rGAL_3 Intensity	UL_1 MaxLFQ Intensity	UL_2 MaxLFQ Intensity	UL_3 MaxLFQ Intensity	rGAL_1 MaxLFQ Intensity	rGAL_2 MaxLFQ Intensity	rGAL_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|O95602|RPA1_HUMAN	O95602	RPA1_HUMAN	POLR1A	1720	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerase I subunit RPA1	1.0	0.9989	6	23	23	23	3	6	6	2	1	5	3	6	6	2	1	5	3	6	6	2	1	5	106790.74	157417.03	170955.75	86832.91	37532.504	77100.8	55727.723	67046.72	43403.383	44079.047	42595.504	46184.887	
sp|O95782|AP2A1_HUMAN	O95782	AP2A1_HUMAN	AP2A1	977	Homo sapiens	1:Experimental evidence at protein level	AP-2 complex subunit alpha-1	1.0	0.999	7	23	6	23	5	3	5	1	4	5	2	1	1	0	1	1	5	3	5	1	4	5	89960.33	57352.336	105506.03	18968.586	98868.5	108525.9	33062.95	38308.54	40264.105	33341.793	28450.137	29165.146	
sp|O95810|CAVN2_HUMAN	O95810	CAVN2_HUMAN	CAVIN2	425	Homo sapiens	1:Experimental evidence at protein level	Caveolae-associated protein 2	1.0	0.9989	2	9	9	9	4	1	2	0	1	1	4	1	2	0	1	1	4	1	2	0	1	1	46828.61	32887.246	18697.475	0.0	12877.261	14316.385	34759.473	32887.246	18697.475	0.0	12877.261	14316.385	
sp|O95816|BAG2_HUMAN	O95816	BAG2_HUMAN	BAG2	211	Homo sapiens	1:Experimental evidence at protein level	BAG family molecular chaperone regulator 2	1.0	0.9983	2	12	12	12	3	1	3	2	2	1	3	1	3	2	2	1	3	1	3	2	2	1	40269.31	35473.688	27462.088	36480.895	23923.682	31455.943	27272.857	35473.688	27462.088	36480.895	23923.682	31455.943	
sp|O96019|ACL6A_HUMAN	O96019	ACL6A_HUMAN	ACTL6A	429	Homo sapiens	1:Experimental evidence at protein level	Actin-like protein 6A	1.0	0.999	3	21	21	21	5	5	3	1	2	5	5	5	3	1	2	5	5	5	3	1	2	5	117482.47	66523.41	82699.375	18474.012	66143.25	68252.42	44854.918	36267.945	43721.824	19409.18	35058.395	23064.393	
sp|P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	Homo sapiens	1:Experimental evidence at protein level	L-lactate dehydrogenase A chain	0.9686	0.9983	1	7	7	7	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	53014.586	32607.395	48259.977	48955.637	39542.82	51449.21	53014.586	32607.395	48259.977	48955.637	39542.82	51449.21	
sp|P00558|PGK1_HUMAN	P00558	PGK1_HUMAN	PGK1	417	Homo sapiens	1:Experimental evidence at protein level	Phosphoglycerate kinase 1	0.8457	0.9904	1	2	2	2	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	22046.6	0.0	0.0	0.0	19175.848	0.0	22046.6	0.0	0.0	0.0	19175.848	0.0	
sp|P01040|CYTA_HUMAN	P01040	CYTA_HUMAN	CSTA	98	Homo sapiens	1:Experimental evidence at protein level	Cystatin-A	0.9721	0.9985	1	2	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0.0	0.0	34899.188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01591|IGJ_HUMAN	P01591	IGJ_HUMAN	JCHAIN	159	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin J chain	0.9799	0.9989	1	4	4	4	1	0	1	0	0	2	1	0	1	0	0	2	1	0	1	0	0	2	16868.61	0.0	25037.44	0.0	0.0	83841.88	16868.61	0.0	25037.44	0.0	0.0	83841.88	
sp|P01834|IGKC_HUMAN	P01834	IGKC_HUMAN	IGKC	107	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa constant	1.0	0.999	2	4	4	4	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	4	0.0	0.0	0.0	0.0	0.0	74960.46	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01876|IGHA1_HUMAN	P01876	IGHA1_HUMAN	IGHA1	398	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy constant alpha 1	1.0	0.999	3	12	10	12	0	1	1	0	0	10	0	1	1	0	0	8	0	1	1	0	0	10	0.0	22237.404	12952.014	0.0	0.0	230738.67	0.0	22237.404	12952.014	0.0	0.0	133421.39	
sp|P02533|K1C14_HUMAN	P02533	K1C14_HUMAN	KRT14	472	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 14	1.0	0.999	31	368	150	624	57	70	75	40	60	66	22	29	31	12	26	30	106	112	150	67	91	98	6260149.5	7786369.5	7068759.0	5345090.0	6322309.0	6276876.5	1137045.1	1373212.0	1355863.8	1077180.8	1296307.4	1290163.8	
sp|P02538|K2C6A_HUMAN	P02538	K2C6A_HUMAN	KRT6A	564	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 6A	1.0	0.999	37	83	15	415	12	18	17	9	12	15	2	3	3	2	3	2	66	76	85	52	61	75	822945.56	1277346.8	1028728.56	484495.47	681735.6	685033.7	252494.89	421214.12	336792.84	230365.31	289067.1	282777.56	
sp|P02545|LMNA_HUMAN	P02545	LMNA_HUMAN	LMNA	664	Homo sapiens	1:Experimental evidence at protein level	Prelamin-A/C	1.0	0.9982	3	9	7	9	2	3	2	0	1	1	1	2	2	0	1	1	2	3	2	0	1	1	49718.766	99160.97	27852.863	0.0	28004.668	27908.54	23298.494	35197.305	29610.254	0.0	29771.637	29669.443	
sp|P02786|TFR1_HUMAN	P02786	TFR1_HUMAN	TFRC	760	Homo sapiens	1:Experimental evidence at protein level	Transferrin receptor protein 1	0.6584	0.9732	1	5	5	5	1	1	0	3	0	0	1	1	0	3	0	0	1	1	0	3	0	0	65261.84	27455.45	0.0	48148.51	0.0	0.0	65261.84	27455.45	0.0	48148.51	0.0	0.0	
sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	1.0	0.9983	3	11	11	11	2	3	1	2	1	2	2	3	1	2	1	2	2	3	1	2	1	2	17026.947	54747.336	18407.105	54576.652	15537.043	18355.207	17026.947	26326.102	18407.105	27648.984	18167.492	21462.775	
sp|P04080|CYTB_HUMAN	P04080	CYTB_HUMAN	CSTB	98	Homo sapiens	1:Experimental evidence at protein level	Cystatin-B	0.826	0.989	1	3	3	3	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	19597.047	0.0	0.0	0.0	0.0	21907.936	19597.047	0.0	0.0	0.0	0.0	21907.936	
sp|P04083|ANXA1_HUMAN	P04083	ANXA1_HUMAN	ANXA1	346	Homo sapiens	1:Experimental evidence at protein level	Annexin A1	1.0	0.999	6	17	17	17	2	2	5	1	0	7	2	2	5	1	0	7	2	2	5	1	0	7	38849.56	163813.06	65201.21	25096.324	0.0	318993.22	43812.71	45853.18	63671.977	54870.715	0.0	71062.75	
sp|P04259|K2C6B_HUMAN	P04259	K2C6B_HUMAN	KRT6B	564	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 6B	1.0	0.999	36	103	8	456	19	21	18	13	15	17	2	1	2	1	2	0	72	81	92	62	69	80	422321.6	912618.44	831672.7	506202.88	524587.25	553209.9	188387.42	353738.7	275909.34	212945.66	180644.3	225093.8	
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.999	51	1596	1359	1596	280	259	339	205	234	279	245	223	289	169	197	236	280	259	339	205	234	279	3.329081E7	3.9123884E7	4.4214628E7	3.3602788E7	3.5746568E7	3.2295982E7	7074902.0	7563458.0	9551093.0	7776927.0	8313581.0	7949222.0	
sp|P04279|SEMG1_HUMAN	P04279	SEMG1_HUMAN	SEMG1	462	Homo sapiens	1:Experimental evidence at protein level	Semenogelin-1	0.9131	0.995	1	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	13855.337	0.0	28571.193	0.0	0.0	0.0	13855.337	0.0	28571.193	0.0	0.0	0.0	sp|Q02383|SEMG2_HUMAN
sp|P04406|G3P_HUMAN	P04406	G3P_HUMAN	GAPDH	335	Homo sapiens	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase	1.0	0.999	6	27	26	27	5	2	7	2	4	7	5	2	6	2	4	7	5	2	7	2	4	7	166318.81	79892.08	151590.0	45957.04	61330.992	142943.22	126212.914	90139.88	65208.383	46195.008	48255.535	86974.59	
sp|P04746|AMYP_HUMAN	P04746	AMYP_HUMAN	AMY2A	511	Homo sapiens	1:Experimental evidence at protein level	Pancreatic alpha-amylase	0.9804	0.9989	1	3	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0.0	0.0	7815.7017	0.0	0.0	32023.385	0.0	0.0	7815.7017	0.0	0.0	32023.385	sp|P0DTE7|AMY1B_HUMAN, sp|P0DTE8|AMY1C_HUMAN, sp|P0DUB6|AMY1A_HUMAN, sp|P19961|AMY2B_HUMAN
sp|P04792|HSPB1_HUMAN	P04792	HSPB1_HUMAN	HSPB1	205	Homo sapiens	1:Experimental evidence at protein level	Heat shock protein beta-1	1.0	0.999	3	10	10	10	1	1	1	1	2	4	1	1	1	1	2	4	1	1	1	1	2	4	24293.322	19642.668	30434.592	6945.8486	47015.395	80167.734	24293.322	19642.668	30434.592	0.0	27733.887	44061.12	
sp|P04843|RPN1_HUMAN	P04843	RPN1_HUMAN	RPN1	607	Homo sapiens	1:Experimental evidence at protein level	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	1.0	0.999	13	94	94	94	18	13	12	17	16	18	18	13	12	17	16	18	18	13	12	17	16	18	415790.75	199163.64	277649.4	414891.12	379361.06	434717.66	85227.055	92841.29	90975.58	91134.766	77557.19	87974.78	
sp|P04899|GNAI2_HUMAN	P04899	GNAI2_HUMAN	GNAI2	355	Homo sapiens	1:Experimental evidence at protein level	Guanine nucleotide-binding protein G(i) subunit alpha-2	0.9708	0.9984	1	4	4	4	1	1	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	2	18040.89	18198.814	0.0	0.0	21996.123	14840.193	18040.89	18198.814	0.0	0.0	21996.123	14840.193	
sp|P04908|H2A1B_HUMAN	P04908	H2A1B_HUMAN	H2AC4	130	Homo sapiens	1:Experimental evidence at protein level	Histone H2A type 1-B/E	1.0	0.999	4	56	0	56	10	7	10	8	10	11	0	0	0	0	0	0	10	7	10	8	10	11	789458.75	684333.0	722577.7	980185.2	877012.0	966673.25	352310.34	240692.1	312451.47	368355.34	431505.6	464374.0	sp|P0C0S8|H2A1_HUMAN, sp|P20671|H2A1D_HUMAN, sp|Q16777|H2A2C_HUMAN, sp|Q6FI13|H2A2A_HUMAN, sp|Q7L7L0|H2A3_HUMAN, sp|Q93077|H2A1C_HUMAN, sp|Q96KK5|H2A1H_HUMAN, sp|Q99878|H2A1J_HUMAN, sp|Q9BTM1|H2AJ_HUMAN
sp|P05089|ARGI1_HUMAN	P05089	ARGI1_HUMAN	ARG1	322	Homo sapiens	1:Experimental evidence at protein level	Arginase-1	1.0	0.999	4	12	12	12	3	2	4	1	1	1	3	2	4	1	1	1	3	2	4	1	1	1	59189.39	68863.2	149763.52	0.0	26357.09	42709.848	42034.64	43324.61	46853.887	0.0	24387.307	44638.9	
sp|P05109|S10A8_HUMAN	P05109	S10A8_HUMAN	S100A8	93	Homo sapiens	1:Experimental evidence at protein level	Protein S100-A8	1.0	0.9893	2	11	11	11	2	1	3	3	0	2	2	1	3	3	0	2	2	1	3	3	0	2	39486.516	32553.908	65047.42	49571.438	0.0	27040.004	22051.639	29681.527	38667.01	28622.482	0.0	42914.816	
sp|P05165|PCCA_HUMAN	P05165	PCCA_HUMAN	PCCA	728	Homo sapiens	1:Experimental evidence at protein level	Propionyl-CoA carboxylase alpha chain, mitochondrial	1.0	0.9989	5	19	19	19	7	2	5	2	1	2	7	2	5	2	1	2	7	2	5	2	1	2	119061.34	22769.164	47486.766	50177.39	28074.533	38454.15	39450.4	24503.084	29237.734	34368.06	30212.469	17483.242	
sp|P05166|PCCB_HUMAN	P05166	PCCB_HUMAN	PCCB	539	Homo sapiens	1:Experimental evidence at protein level	Propionyl-CoA carboxylase beta chain, mitochondrial	0.9815	0.999	1	3	3	3	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	14476.543	0.0	0.0	0.0	0.0	10318.985	14476.543	0.0	0.0	0.0	0.0	10318.985	
sp|P05198|IF2A_HUMAN	P05198	IF2A_HUMAN	EIF2S1	315	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2 subunit 1	1.0	0.999	12	71	71	71	16	10	10	9	11	15	16	10	10	9	11	15	16	10	10	9	11	15	969466.8	740429.06	889400.25	132079.34	1001557.75	767407.3	447920.03	340325.12	449194.22	458300.5	548660.8	457286.28	
sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	Homo sapiens	1:Experimental evidence at protein level	Gelsolin	1.0	0.9975	6	31	31	31	8	4	9	5	3	2	8	4	9	5	3	2	8	4	9	5	3	2	70397.95	76468.5	129159.22	64448.78	65469.64	48685.16	26735.783	33548.957	29631.092	29082.98	29200.842	29279.809	
sp|P06454|PTMA_HUMAN	P06454	PTMA_HUMAN	PTMA	111	Homo sapiens	1:Experimental evidence at protein level	Prothymosin alpha	0.981	0.999	1	8	8	8	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	103849.71	39723.426	102461.555	85226.82	94658.08	89524.41	103849.71	39723.426	102461.555	85226.82	94658.08	89524.41	
sp|P06576|ATPB_HUMAN	P06576	ATPB_HUMAN	ATP5F1B	529	Homo sapiens	1:Experimental evidence at protein level	ATP synthase F(1) complex subunit beta, mitochondrial	0.9787	0.9988	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3987.1196	3228.7556	1182.5854	1012.804	0.0	0.0	3987.1196	3228.7556	1182.5854	1012.804	0.0	0.0	
sp|P06702|S10A9_HUMAN	P06702	S10A9_HUMAN	S100A9	114	Homo sapiens	1:Experimental evidence at protein level	Protein S100-A9	1.0	0.999	5	21	21	21	2	1	3	6	1	8	2	1	3	6	1	8	2	1	3	6	1	8	57287.86	30434.236	127022.67	98285.11	35174.08	169926.77	48921.117	37417.176	58550.17	39849.51	37435.44	39607.64	
sp|P06733|ENOA_HUMAN	P06733	ENOA_HUMAN	ENO1	434	Homo sapiens	1:Experimental evidence at protein level	Alpha-enolase	1.0	0.999	6	27	13	27	4	4	9	1	4	5	2	2	4	1	2	2	4	4	9	1	4	5	85706.58	69266.08	75955.2	0.0	45213.953	93059.734	40635.848	37540.574	36131.668	0.0	24947.2	40129.492	
sp|P06748|NPM_HUMAN	P06748	NPM_HUMAN	NPM1	294	Homo sapiens	1:Experimental evidence at protein level	Nucleophosmin	1.0	0.999	6	26	26	26	4	4	3	2	6	7	4	4	3	2	6	7	4	4	3	2	6	7	146638.44	140226.8	145600.3	99507.0	120262.266	213889.95	68058.945	92493.18	99354.516	70204.695	55896.816	82292.73	
sp|P06899|H2B1J_HUMAN	P06899	H2B1J_HUMAN	H2BC11	126	Homo sapiens	1:Experimental evidence at protein level	Histone H2B type 1-J	0.0	0.9916	7	2	0	142	0	0	0	0	1	1	0	0	0	0	0	0	20	13	21	21	30	37	0.0	0.0	0.0	0.0	28851.457	30921.965	0.0	0.0	0.0	0.0	28851.457	30921.965	sp|P23527|H2B1O_HUMAN, sp|P33778|H2B1B_HUMAN, sp|Q16778|H2B2E_HUMAN
sp|P07237|PDIA1_HUMAN	P07237	PDIA1_HUMAN	P4HB	508	Homo sapiens	1:Experimental evidence at protein level	Protein disulfide-isomerase	0.8179	0.9883	1	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	21051.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	Homo sapiens	1:Experimental evidence at protein level	Cathepsin D	1.0	0.9986	2	7	7	7	3	0	3	0	1	0	3	0	3	0	1	0	3	0	3	0	1	0	43884.145	0.0	109876.45	0.0	38968.434	0.0	43884.145	0.0	78710.99	0.0	38968.434	0.0	
sp|P07355|ANXA2_HUMAN	P07355	ANXA2_HUMAN	ANXA2	339	Homo sapiens	1:Experimental evidence at protein level	Annexin A2	1.0	0.9987	7	17	6	17	2	3	4	1	2	5	0	1	1	0	1	3	2	3	4	1	2	5	95091.75	165399.95	173353.36	84837.06	100611.12	115958.22	67721.664	108485.62	92706.37	84837.06	66895.12	62348.92	
sp|P07437|TBB5_HUMAN	P07437	TBB5_HUMAN	TUBB	444	Homo sapiens	1:Experimental evidence at protein level	Tubulin beta chain	1.0	0.999	10	52	9	52	9	3	11	11	9	9	1	0	1	4	1	2	9	3	11	11	9	9	240451.83	52294.344	227598.16	305670.03	273183.22	286096.5	65972.66	37341.984	52568.633	71177.59	64550.91	63191.457	
sp|P07741|APT_HUMAN	P07741	APT_HUMAN	APRT	180	Homo sapiens	1:Experimental evidence at protein level	Adenine phosphoribosyltransferase	1.0	0.9985	2	4	4	4	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0.0	44757.29	32262.488	85274.7	0.0	13391.873	0.0	44757.29	32262.488	85274.7	0.0	0.0	
sp|P07814|SYEP_HUMAN	P07814	SYEP_HUMAN	EPRS1	1512	Homo sapiens	1:Experimental evidence at protein level	Bifunctional glutamate/proline--tRNA ligase	1.0	0.999	16	76	76	76	9	12	5	17	10	23	9	12	5	17	10	23	9	12	5	17	10	23	377291.6	408050.1	327473.0	649052.25	506447.47	696047.44	150724.12	121563.984	125796.54	164557.38	166072.73	159980.61	
sp|P07900|HS90A_HUMAN	P07900	HS90A_HUMAN	HSP90AA1	732	Homo sapiens	1:Experimental evidence at protein level	Heat shock protein HSP 90-alpha	1.0	0.998	6	11	11	21	2	1	1	0	2	5	2	1	1	0	2	5	4	1	3	1	5	7	76830.89	12235.204	19660.588	0.0	17762.533	61928.71	48280.414	46103.266	14827.558	0.0	45047.73	35999.918	
sp|P07948|LYN_HUMAN	P07948	LYN_HUMAN	LYN	512	Homo sapiens	1:Experimental evidence at protein level	Tyrosine-protein kinase Lyn	0.9997	0.982	2	4	1	4	2	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	2	0	53689.78	0.0	0.0	0.0	31100.125	0.0	28968.393	0.0	0.0	0.0	31100.125	0.0	
sp|P08238|HS90B_HUMAN	P08238	HS90B_HUMAN	HSP90AB1	724	Homo sapiens	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	1.0	0.999	8	33	15	33	8	1	11	3	4	6	4	1	4	1	1	4	8	1	11	3	4	6	168702.67	9885.458	172376.97	93248.375	122933.61	66162.27	35498.316	16874.996	38398.38	33958.426	43121.508	39148.47	
sp|P08708|RS17_HUMAN	P08708	RS17_HUMAN	RPS17	135	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein eS17	1.0	0.9984	2	6	6	6	0	0	0	1	2	3	0	0	0	1	2	3	0	0	0	1	2	3	0.0	0.0	0.0	28942.092	36610.414	93256.39	0.0	0.0	0.0	31530.69	39884.87	32085.996	
sp|P08729|K2C7_HUMAN	P08729	K2C7_HUMAN	KRT7	469	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 7	0.9996	0.999	6	17	2	58	4	3	3	1	4	2	2	0	0	0	0	0	12	7	16	6	8	9	191247.56	113191.97	117734.6	45251.023	124826.445	107426.84	142759.98	113191.97	117734.6	45251.023	124826.445	107426.84	
sp|P08779|K1C16_HUMAN	P08779	K1C16_HUMAN	KRT16	473	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 16	1.0	0.999	30	122	122	502	20	21	24	18	18	21	20	21	24	18	18	21	94	82	125	61	66	74	1727424.1	1986906.8	1491341.1	807484.7	1471349.4	1432020.9	405934.72	686951.6	479723.62	357373.94	330386.12	446319.0	
sp|P09211|GSTP1_HUMAN	P09211	GSTP1_HUMAN	GSTP1	210	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase P	1.0	0.999	2	15	15	15	3	1	2	2	1	6	3	1	2	2	1	6	3	1	2	2	1	6	103398.36	62398.547	82950.53	50832.1	49423.766	119691.67	103398.36	62398.547	82950.53	50832.1	49423.766	103398.33	
sp|P09874|PARP1_HUMAN	P09874	PARP1_HUMAN	PARP1	1014	Homo sapiens	1:Experimental evidence at protein level	Poly [ADP-ribose] polymerase 1	1.0	0.999	37	279	279	279	44	30	44	43	48	70	44	30	44	43	48	70	44	30	44	43	48	70	3551511.5	2800099.2	2839187.5	3391135.0	3918484.2	4297366.5	686101.94	617703.94	645593.06	757498.1	836462.56	891535.8	
sp|P0C1Z6|TFPT_HUMAN	P0C1Z6	TFPT_HUMAN	TFPT	253	Homo sapiens	1:Experimental evidence at protein level	TCF3 fusion partner	0.9274	0.9959	1	3	3	3	2	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	28045.348	0.0	0.0	0.0	0.0	26351.648	28045.348	0.0	0.0	0.0	0.0	26351.648	
sp|P0CG47|UBB_HUMAN	P0CG47	UBB_HUMAN	UBB	229	Homo sapiens	1:Experimental evidence at protein level	Polyubiquitin-B	1.0	0.999	3	28	0	28	6	4	3	4	6	5	0	0	0	0	0	0	6	4	3	4	6	5	195401.6	206156.81	222095.25	283494.94	323201.0	343387.06	85708.57	94045.58	100177.04	125519.45	138395.25	147372.98	sp|P0CG48|UBC_HUMAN, sp|P62979|RS27A_HUMAN, sp|P62987|RL40_HUMAN
sp|P0DP23|CALM1_HUMAN	P0DP23	CALM1_HUMAN	CALM1	149	Homo sapiens	1:Experimental evidence at protein level	Calmodulin-1	0.9805	0.9989	1	7	0	7	1	1	1	1	2	1	0	0	0	0	0	0	1	1	1	1	2	1	60997.188	61194.434	48475.32	50149.11	47638.484	51022.363	60997.188	61194.434	48475.32	50149.11	47638.484	51022.363	sp|P0DP24|CALM2_HUMAN, sp|P0DP25|CALM3_HUMAN
sp|P10412|H14_HUMAN	P10412	H14_HUMAN	H1-4	219	Homo sapiens	1:Experimental evidence at protein level	Histone H1.4	0.9998	0.999	9	43	15	75	5	3	10	8	11	6	2	2	5	2	2	2	9	5	19	14	18	10	438897.47	424769.25	676358.6	476121.28	720029.5	708505.0	245100.55	273100.47	276304.9	363087.8	392923.47	363929.5	
sp|P10515|ODP2_HUMAN	P10515	ODP2_HUMAN	DLAT	647	Homo sapiens	1:Experimental evidence at protein level	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	1.0	0.9987	4	25	25	25	11	2	3	1	2	6	11	2	3	1	2	6	11	2	3	1	2	6	249373.14	110513.28	95223.11	45639.29	54926.875	179562.84	93932.28	74169.54	58286.426	45639.29	54926.875	87992.53	
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin	0.9999	0.9919	2	7	7	7	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	33720.066	28399.195	44709.17	33520.57	69410.01	38404.63	33720.066	28399.195	44709.17	33520.57	0.0	38404.63	
sp|P10809|CH60_HUMAN	P10809	CH60_HUMAN	HSPD1	573	Homo sapiens	1:Experimental evidence at protein level	60 kDa heat shock protein, mitochondrial	1.0	0.999	6	41	41	41	7	2	9	5	7	11	7	2	9	5	7	11	7	2	9	5	7	11	94360.414	41802.297	95778.04	61251.234	126422.02	126298.79	37307.562	24793.074	36448.293	40558.484	41517.645	37265.516	
sp|P11021|BIP_HUMAN	P11021	BIP_HUMAN	HSPA5	654	Homo sapiens	1:Experimental evidence at protein level	Endoplasmic reticulum chaperone BiP	1.0	0.999	10	28	27	37	4	4	5	1	5	9	3	4	5	1	5	9	7	5	6	2	7	10	80971.34	91291.83	145001.89	58537.348	204684.08	292360.34	62638.35	55575.574	64833.113	62350.066	73420.875	69348.57	
sp|P11142|HSP7C_HUMAN	P11142	HSP7C_HUMAN	HSPA8	646	Homo sapiens	1:Experimental evidence at protein level	Heat shock cognate 71 kDa protein	1.0	0.999	16	116	54	116	21	13	12	13	27	30	11	3	4	5	12	19	21	13	12	13	27	30	931589.06	884064.25	683235.9	869572.0	937387.9	1111503.0	301124.7	324812.53	262359.5	308276.44	325633.38	282138.94	
sp|P11274|BCR_HUMAN	P11274	BCR_HUMAN	BCR	1271	Homo sapiens	1:Experimental evidence at protein level	Breakpoint cluster region protein	0.9998	0.9985	2	3	3	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	39902.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P11310|ACADM_HUMAN	P11310	ACADM_HUMAN	ACADM	421	Homo sapiens	1:Experimental evidence at protein level	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	0.5008	0.9498	1	3	3	3	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0.0	0.0	4688.71	2905.221	0.0	0.0	0.0	0.0	4688.71	2905.221	0.0	0.0	
sp|P11387|TOP1_HUMAN	P11387	TOP1_HUMAN	TOP1	765	Homo sapiens	1:Experimental evidence at protein level	DNA topoisomerase 1	0.9811	0.999	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	43576.133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P11498|PYC_HUMAN	P11498	PYC_HUMAN	PC	1178	Homo sapiens	1:Experimental evidence at protein level	Pyruvate carboxylase, mitochondrial	1.0	0.999	25	189	189	189	40	27	27	25	27	43	40	27	27	25	27	43	40	27	27	25	27	43	1292092.2	954479.75	1009164.9	837114.6	747003.0	1042561.44	168296.42	149087.61	157619.39	136084.14	124199.67	149165.38	
sp|P11586|C1TC_HUMAN	P11586	C1TC_HUMAN	MTHFD1	935	Homo sapiens	1:Experimental evidence at protein level	C-1-tetrahydrofolate synthase, cytoplasmic	0.9088	0.9947	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	22675.705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P11940|PABP1_HUMAN	P11940	PABP1_HUMAN	PABPC1	636	Homo sapiens	1:Experimental evidence at protein level	Polyadenylate-binding protein 1	1.0	0.9989	3	20	0	20	3	3	5	4	2	3	0	0	0	0	0	0	3	3	5	4	2	3	59007.62	47517.5	55595.44	73298.97	45000.773	47881.17	41719.098	33191.773	39622.676	42844.855	45000.773	34161.094	
